shelter,number,lat,lon
"woodshole shelter",13,None,None
"bear tree gap",40,None,None
"verdict is in on she-dino leg",1,None,None
"refuge la tetras",4,None,None
"arden ny hwy 17",2,None,None
"mt washington",29,None,None
"manchester center, nh",123,None,None
"calf mountian shelter",2,None,None
"symmm's gap meadow",1,None,None
"hermit lake shelter (1 of 2)",0,44.26109,-71.2863
"nc rt.28 @ fontana marina",11,None,None
"lambers meadow shelter",15,None,None
"peekskill, ny",43,None,None
"garfield-zealandfalls",18,None,None
"mt holly springs, pa",16,None,None
"past hawk mtn",22,None,None
"north?",1,None,None
"bruce's house (hamilton, va)",2,None,None
"silvia’s b&b in adams",2,None,None
"haystack creek",6,None,None
"neels gap via truck",2,None,None
"applebee's",1,None,None
"north creeper",8,None,None
"nantahala village, nc",2,None,None
"damascu, va",4,None,None
"nollchucky river",2,None,None
"upper goose pond, ma",70,None,None
"fontana lodge",2,None,None
"harpers ferry,wva.",12,None,None
"rain and more rain",4,None,None
"wallace gap (rainbow springs)",5,None,None
"chester gap us522 950",18,None,None
"3rd zero",1,None,None
"faded glory",3,None,None
"near mcqueens shelter",2,None,None
"clarksville, tn",2,None,None
"alec kennedy",872,40.111762,-77.104367
"hunters run rd",18,None,None
"gatlinburg, tn again!",21,None,None
"ellijay, ga",1,None,None
"rich cove gap, ga",8,None,None
"pawlings",12,None,None
"halfway up moody mountain",1,None,None
"bear mtn inn",24,None,None
"sky meadows state park",18,None,None
"route 16",95,None,None
"waterville school rd",19,None,None
"wyad bald camping",2,None,None
"tn county fire road 293",6,None,None
"daleville (h j)",16,None,None
"harper's ferry, wv mile: 1008.9",164,None,None
"random point in woods",6,None,None
"h.a.c.k",4,None,None
"brigners', peterstown, wv",2,None,None
"great barrrington",6,None,None
"campsite close to elk river",2,None,None
"the birdcage, dalton, ma",127,None,None
"greymore friary",40,None,None
"have you seen an emu?",320,None,None
"fontana resort inn, nc",44,None,None
"mount wilcox shelter north, ma",12,None,None
"bland,va- big walker motel",13,None,None
"wal-asi-yi",2,None,None
"springer mtn., ga.",39,None,None
"trey's",19,None,None
"pemadumcook lane - white house landing",6,None,None
"camp-site",29,None,None
"chiropractic folk adjustment",4,None,None
"hurrican mountain shelter",4,None,None
"storage shed in town",2,None,None
"vt- route 12, woodstock",2,None,None
"iron mtn gap",90,None,None
"dennytown group camp area",4,None,None
"south mountain pass",2,None,None
"fairfax, va",7,None,None
"mt. wilson north lean-to",2,None,None
"haverhill, ma",1,None,None
"secret shelter after governer clement shelter",2,None,None
"cooper's brook falls lean-to",2,None,None
"stream past route 94",2,None,None
"rt. 26 grafton notch",2,None,None
"chattahoochie gap",3,None,None
"riga lean -to",2,None,None
"monkeyhead",8,None,None
"sungod meets the grayhounds",7,None,None
"past pole steeple trail",7,None,None
"dicey gap (troutdale)",2,None,None
"nc 28, fontana village",3,None,None
"near woody gap",57,None,None
"birches campsite",295,None,None
"tulsa",4,None,None
"colby knob shelter",4,None,None
"fire warden cabin",8,None,None
"cheshire, ma p.o.",253,None,None
"sugarloaf knob,tn",1,None,None
"harpers ferry wva",21,None,None
"03/23/2005",1,None,None
"dunacannon, pa",18,None,None
"six foot track-australia",1,None,None
"grand prix motel-gatlinburg",2,None,None
"springer mountian",13,None,None
"bromely mountain",18,None,None
"deerlick shelter",18,None,None
"gap by double spring",4,None,None
"blue ridge pkwy (a field)",2,None,None
"the day i almost quit",4,None,None
"philadelphia, pa",157,None,None
"dennis cove & kinkora hostel",7,None,None
"hexacubic shelter",2,None,None
"quality inn, waynesboro",51,None,None
"va652",4,None,None
"colrain, ma",10,None,None
"rt 19e (spent the night in bristol)",43,None,None
"leroy smith shelter",485,None,None
"wesser creek trail",6,None,None
"presbyterian church of the mtn, del water gap, pa",3,None,None
"vermont reggae fest",4,None,None
"west hartford (stayed w/ the hart's)",2,None,None
"troutville, virginia",5,None,None
"sarvers hollow shelter",4,None,None
"roaring fork",824,35.80512,-82.94953
"fontana village, nc",21,None,None
"gordon pond campsite",105,None,None
"holiday inn - fort montgomery",130,None,None
"st thomas church hostel in vernon",6,None,None
"calf mtn. hut",8,None,None
"southfield, ny",26,None,None
"springer moun tain",1,None,None
"dicks knob shelter",2,None,None
"penn-mar road",14,None,None
"somewhere outside hotsprings",6,None,None
"troutville, va",517,None,None
"duncanon, pa",146,None,None
"alec kennedy shelter",22,40.11178,-77.10403
"carter dome (tenting)",76,None,None
"lambert meadows shelter",38,None,None
"humpback mountain",77,None,None
"mile mark 1004",7,None,None
"1 mile south of tinker cliffs",14,None,None
"duncannon, low bridges house",12,None,None
"the hollow",6,None,None
"knob maul shelter",18,None,None
"campsite past harper's ferry",4,None,None
"near simmons gap",26,None,None
"granny top mountain",26,None,None
"friends in low places...",1,None,None
"and 06/13/02",1,None,None
"genetian pond shelter",3,None,None
"erdman hostel/tioriti circle on the trail",34,None,None
"humpback mtn. campground restroom",2,None,None
"campsite 117.3 miles",4,None,None
"plerasant pond",12,None,None
"keys gap - wv hwy 9",6,None,None
"travel day",9,None,None
"la nictale refuge",6,None,None
"pecks shelter",6,None,None
"salisbury, ct (staying at cousin's house)",12,None,None
"western maine",2,None,None
"hikers lodge near springer mtn.",2,None,None
"shangri-la",2,None,None
"route 321",6,None,None
"brimfield ma",1,None,None
"orwigsburg, pa",6,None,None
"soap factory tenting area",2,None,None
"brassy brook",14,None,None
"u.s. 40",30,None,None
"pearis mt.",4,None,None
"tye river, va rte 56",35,None,None
"chairback gap lean to",94,None,None
"on family vacation in maine 6/15-6/24; not hiking",9,None,None
"bluefield, va then bastian",9,None,None
"state campground",8,None,None
"troutdale: baptist church hostel",20,None,None
"bearface mtn hut",2,None,None
"plantar fasciitis injury",16,None,None
"howard johnson hotel, blue ridge pkwy, mile 95.3",2,None,None
"hanonver?",1,None,None
"a nice camping spot",5,None,None
"blackburn at center",349,None,None
"south to glencliff",28,None,None
"next shelter (one mile)",1,None,None
"natahala outdoor center hostel",33,None,None
"bly ga[",3,None,None
"pickham notch",2,None,None
"stealth camp near stream",10,None,None
"pump gap",5,None,None
"arden valley road-lake tiorati",44,None,None
"bucks place",5,None,None
"green pond mtn.",12,None,None
"1/2 mile north of bemis stream, maine",14,None,None
"rocky bluff campground",3,None,None
"still at neels gap",2,None,None
"lyme road",16,None,None
"first week update",1,None,None
"rt.94& at,pa",56,None,None
"new york city!!!",24,None,None
"pen-mar (terra's house)",8,None,None
"pawling - chardo (?) bed and breakfast",2,None,None
"village motel @ us11&i-81",2,None,None
"frye notch lean-to",628,44.62791,-70.89983
"pinham notch amc hostel",38,None,None
"highway 5 campsite",4,None,None
"jump up lookout",2,None,None
"blue mt shelter",12,None,None
"wilson stream campsite",4,None,None
"siles bald shelter",2,None,None
"refuge le corbeau",6,None,None
"hawk mountian shelter",3,None,None
"wboro",8,None,None
"sunrise motel, hanover",31,None,None
"corliss camp",24,None,None
"nantahala outdoor center-wesser, nc",19,None,None
"wallace gap/rainbow springs campground",38,None,None
"front royal, va",699,None,None
"interstate 40",3,None,None
"pecks' corner shelter",2,None,None
"bryant ridge",933,37.530079,-79.585835
"tent site past waterville road",17,None,None
"rte 321",19,None,None
"hurd brook lean-to",1817,45.81852,-69.01847
"star wars movie",4,None,None
"big rock spring (?)",19,None,None
"hilltop hotel in harper's ferry",2,None,None
"kinsey creek trail to road",2,None,None
"private residence in dalton, mass.",52,None,None
"vondell shelter, vermont",1,None,None
"shenandoah national park",257,None,None
"dick's creek - blueberry patch",9,None,None
"webster mt.",11,None,None
"ms.janet's",6,None,None
"pawling ,ny",12,None,None
"fort montgomery, ny",150,None,None
"minerva hinchery shelter",12,None,None
"gov clement shelter, vt",8,None,None
"weverton cliff, md",2,None,None
"pearisburg church hostel",52,None,None
"bangor,maine",1,None,None
"big cedar mt.",14,None,None
"mom and pop's motel glasgow va.",18,None,None
"sobo to harpers ferry",4,None,None
"tray mt shelter",56,None,None
"jemkins shelter",2,None,None
"baker's creek",6,None,None
"abbeville, sc",2,None,None
"va. 624 - [where i got off back on may 4th!]",3,None,None
"trails to damascus",2,None,None
"campsite at bottom of moose mtn",4,None,None
"south arm rd (the cabin hostel)",107,None,None
"usfs rd. 103",2,None,None
"rocky run shelter",297,39.46095,-77.63087
"crigger road, nj",1,None,None
"front royal, u.s. 522",6,None,None
"catholic church, cheshire, ma",7,None,None
"springer mtn, georgia",5,None,None
"mountain algo lean-to",24,None,None
"near i-77",12,None,None
"pinefieldhut",2,None,None
"campsite north of pearisburg",2,None,None
"just outside damascus",2,None,None
"rip rap parking lot",1,None,None
"camping, 1/3 mile past dismal falls side trail",18,None,None
"williamstown hotel",22,None,None
"ny city",4,None,None
"beech gap",189,None,None
"briar ridge",6,None,None
"pickle branch",849,37.38009,-80.18482
"o'lystery community pavillion",13,None,None
"the inn at village square, dalton, ma",2,None,None
"campsite past hogpen gap",18,None,None
"informal campsite south of old blue",20,None,None
"bromly mtn warming hut (5*)",12,None,None
"me 4 (rangely)",72,None,None
"logan branch lean to",40,None,None
"pinkhams notch",12,None,None
"rangeley, me",814,None,None
"old woods road",255,None,None
"skiff mtn road (cabin)",8,None,None
"west lafayette, in",2,None,None
"tent site short of big stamp",4,None,None
"last shelter before daleville",3,None,None
"va 826, crab tree farm rd.",3,None,None
"red tongue, full tummy",6,None,None
"south of shenandoahs",4,None,None
"19e - hitch to kinkora",10,None,None
"bald path lean-to",18,None,None
"dicky gap",10,None,None
"guyot",121,44.161078,-71.535578
"hert lein campsite",4,None,None
"metallica spring",26,None,None
"bradley airport, ct",13,None,None
"campsite 510.2",4,None,None
"winchester, tn.",10,None,None
"thunderhill overlook",2,None,None
"vt 9 (bennington)",65,None,None
"stony book",11,None,None
"vinton",12,None,None
"the olsen's house (yippee!)",2,None,None
"erwin tn",324,None,None
"manchester, vt zion church",2,None,None
"details",1,None,None
"campsite near bemis stream",46,None,None
"stelth site near big meadows",18,None,None
"iron mtn shelter",96,None,None
"namakant lake",9,None,None
"pen mar park (md)",18,None,None
"must press on",3,None,None
"hunter's access rd, 3600'",2,None,None
"north jacobs brook stealth site",24,None,None
"close to dq (atkins maybe)",2,None,None
"carl a. newhall leanto",116,None,None
"frankin, nc",1,None,None
"hilltop hotel-harper's ferry, wv",28,None,None
"bunk road shelter",4,None,None
"as little as possible!",2,None,None
"vandeenter shelter",3,None,None
"sassafrass mtn campsite",1,None,None
"lambert's meadow campsite",19,None,None
"trail days, victorian inn bed & breakfast",4,None,None
"eckville shelter",1360,40.63375,-75.95789
"bald mtn lean-to",24,None,None
"short of swim bald",3,None,None
"black burn at center",6,None,None
"climbing mount killington",6,None,None
"sllisbury conn.",5,None,None
"into stratton to wait out the weather",1,None,None
"nolichucky hostel (a.k.a. uncle johnny’s)",12,None,None
"wawayander shelter",1,None,None
"devil's gap",5,None,None
"salisbury,ct stealth tentsite",3,None,None
"bland county medical clinic",1,None,None
"blue blaze hostel",10,None,None
"lenox, ma (off trail)",7,None,None
"staying put",4,None,None
"marble creek campsite",6,None,None
"lone oak campground (east canaan, ct)",14,None,None
"iron master hostel",1,None,None
"war spur",698,37.397569,-80.474025
"top of massachusetts",1,None,None
"an unknown mtn. nook",12,None,None
"springer mtn. shelter",34,None,None
"va. 42/630",5,None,None
"harpers ferry (hilltop house hotel)",12,None,None
"kincora to kincora",2,None,None
"vermont routes 11/30",2,None,None
"campsite at backbone mountain trailhead",2,None,None
"damascus , v a",1,None,None
"vt 11/30",199,None,None
"stealth site near damascus",4,None,None
"rt 17 a - the creamery",8,None,None
"dennis cove, kincora",8,None,None
"christiansburg, va",2,None,None
"sassafras (nc) gap",2,None,None
"pond near straight mountain",12,None,None
"campsite before kaiser road",14,None,None
"usfs road 69, nc",18,None,None
"near old barn",19,None,None
"bear mountain road, ct",6,None,None
"madison, wi",1,None,None
"over-mountain shelter",4,None,None
"hiker hilton",2,None,None
"bennington vt",90,None,None
"pa248/palmerton",6,None,None
"justas creek",2,None,None
"dover oak",16,None,None
"fontana visitor center",4,None,None
"marble spring trail",37,None,None
"va 606 (camping)",2,None,None
"vermont 9",16,None,None
"just past compton spring",4,None,None
"stealth site at va 617",1,None,None
"carter cap",2,None,None
"cs at rawies rest",8,None,None
"lehigh river bridge (palmerton)",14,None,None
"va 311",261,None,None
"bobblet gap shelter, va",4,None,None
"brown mountaun creek shelter",1,None,None
"u.s. route9 / ny route 403",6,None,None
"mc clure gap",8,None,None
"blackwell creek shelter",8,None,None
"mount alto leanto",3,None,None
"nahmaknta lake",88,None,None
"bears den rocks",110,None,None
"jerry's cabin, 4000'",2,None,None
"devil's racecourse shelter, md",149,None,None
"sassafrras gap",2,None,None
"derrick's knob shelter",43,None,None
"bemis mtn lean to",24,None,None
"mount desert island, me.",8,None,None
"inn @ long trail, killington vt",15,None,None
"state road",23,None,None
"fraquelin campground, mt carleton pp",6,None,None
"campsite w/picnic tables",6,None,None
"carter notch camp nh",2,None,None
"penmar area",56,None,None
"anna and allison's",2,None,None
"campsite 480.6",4,None,None
"hostel, saint thomas episcopal church",12,None,None
"indian grave gap-about 1 mile past",132,None,None
"stealth camp north of s. twin mtn",10,None,None
"powerline before tripoli campsite",18,None,None
"granny top mtn.",12,None,None
"liberty springs campsitenew",7,None,None
"blackburn at hostel 1,650",2,None,None
"hilltop house hotel in harpers ferry, wv",232,None,None
"damascus - trail days",5,None,None
"me 26",135,None,None
"garfield summit",22,None,None
"vermont hwy 2",5,None,None
"cabin at the lookout",30,None,None
"mp 1372 ny",2,None,None
"screte shelter at goldsmith rd",1,None,None
"phillips motel",18,None,None
